symbol,date,close,pct_change,turnover,rainbow_score,main_force_score,model_score,prob_up,prob_down,pred_label,volume_ratio_v3,pct_5d,pct_10d,pct_20d,break_20d_high,break_60d_high,red_count_3d,big_up_count_10d,limit_like_count_20d,position_60d,yaogu_v3_score,yaogu_v3_raw_score,yaogu_v3_risk,yaogu_v3_level,yaogu_v3_action,yaogu_v3_reason,stock_name,industry,board,themes,display_name,is_clean_pool,archive_date,archive_time,recommend_rank,review_date,review_close,next_pct_change,review_model_score,review_rainbow_score,review_main_force_score,review_prob_up,review_prob_down,review_signal_status,entry_close,real_return_pct,hit,big_win,big_loss,review_time
688027,2026-05-22,592.41,9.9417,7.9323,20.0,100.0,,,,,2.3654660168986794,2.137894174238375,0.3096779083385126,3.8984492680896654,0,0,2.0,2.0,1.0,0.3346718556738896,93,93,0,S,重点观察,主力行为强；明显放量；成交额充足；涨停特征；五日多阳；近期多次大涨；近期有涨停基因；低中位启动,国盾量子,其他,科创板,其他,688027 国盾量子,False,2026-05-22,2026-05-22 21:40:57,11,,,,,,,,,,592.41,,False,False,False,2026-05-22 21:45:57
688612,2026-05-22,36.14,9.0525,6.2411,60.0,100.0,0.0881624643595986,0.0008816246435959,0.261352697086653,0.0,2.192518228255422,14.76659256906956,12.410575427682735,9.349470499243573,1,1,3.0,2.0,0.0,0.9785177228786248,93,93,0,S,重点观察,趋势初步转强；主力行为强；明显放量；成交额尚可；突破60日高点；大阳线；三连阳；近期多次大涨,威迈斯,其他,科创板,其他,688612 威迈斯,False,2026-05-22,2026-05-22 21:40:57,12,2026-05-15,31.49,0.9942,0.0881624643595986,20.0,20.0,0.0008816246435959,0.261352697086653,弱,36.14,-12.866629773104599,False,False,True,2026-05-22 21:45:57
688433,2026-05-22,102.21,9.4325,2.6521,100.0,70.0,,,,,1.9162914944969287,4.830769230769216,23.63614370388289,21.317507418397614,1,0,2.0,3.0,1.0,0.8669444444444443,91,91,0,S,重点观察,彩虹趋势极强；主力行为活跃；温和放量；成交额充足；突破20日高点；大阳线；近期多次大涨；近期有涨停基因,华曙高科,其他,科创板,其他,688433 华曙高科,False,2026-05-22,2026-05-22 21:40:57,13,,,,,,,,,,102.21,,False,False,False,2026-05-22 21:45:57
688025,2026-05-22,449.45,18.2763,5.1926,100.0,90.0,,,,,1.1095893770890104,13.842451874366768,19.84694149645352,41.554596705615566,1,1,2.0,2.0,2.0,0.9826127096476379,90,108,18,S,重点观察,彩虹趋势极强；主力行为强；成交额充足；突破60日高点；涨停特征；五日多阳；近期多次大涨；近期有涨停基因；高位加速风险,杰普特,其他,科创板,其他,688025 杰普特,False,2026-05-22,2026-05-22 21:40:57,14,,,,,,,,,,449.45,,False,False,False,2026-05-22 21:45:57
688625,2026-05-22,100.48,9.9704,4.7341,100.0,70.0,,,,,1.7336692072476636,11.396895787139696,21.73491640416767,44.992784992785005,1,1,2.0,3.0,2.0,0.9276572064552032,87,105,18,S,重点观察,彩虹趋势极强；主力行为活跃；温和放量；成交额尚可；突破60日高点；涨停特征；五日多阳；近期多次大涨；近期有涨停基因；高位加速风险,呈和科技,其他,科创板,其他,688625 呈和科技,False,2026-05-22,2026-05-22 21:40:57,15,,,,,,,,,,100.48,,False,False,False,2026-05-22 21:45:57
688507,2026-05-22,162.91,14.0108,29.1376,100.0,100.0,90.36354707220576,0.9036354707220576,0.0913614175210406,1.0,2.786584599851436,51.51599702380953,66.40449438202245,70.40794979079499,1,1,2.0,4.0,4.0,0.932519498134961,86,151,65,B,轻观察,彩虹趋势极强；主力行为强；模型强看多；模型标签偏多；明显放量；成交额充足；突破60日高点；涨停特征；五日多阳；近期多次大涨；近期有涨停基因；下影承接；5日涨幅过大；10日涨幅过大；换手过高；高位加速风险,索辰科技,其他,科创板,其他,688507 索辰科技,False,2026-05-22,2026-05-22 21:40:57,16,2026-05-15,107.52,15.7,90.36354707220576,100.0,100.0,0.9036354707220576,0.0913614175210406,强买观察,162.91,-34.00036830151617,False,False,True,2026-05-22 21:45:57
688478,2026-05-22,66.99,6.5363,7.4024,100.0,50.0,91.89787212899267,0.9189787212899267,0.0741231938706093,1.0,0.9846564808760864,-10.680000000000012,43.14102564102564,63.469985358711554,0,0,0.0,5.0,1.0,0.7505314009661834,86,86,0,S,重点观察,彩虹趋势极强；主力行为初现；模型强看多；模型标签偏多；成交额充足；大阳线；近期多次大涨；近期有涨停基因,晶升股份,其他,科创板,其他,688478 晶升股份,False,2026-05-22,2026-05-22 21:40:57,17,2026-05-15,75.0,9.2498,91.89787212899267,100.0,100.0,0.9189787212899267,0.0741231938706093,强买观察,66.99,11.957008508732647,True,True,False,2026-05-22 21:45:57
688386,2026-05-22,93.13,8.4041,4.7905,100.0,70.0,0.0105683758931537,0.0001056837589315,0.2852681950845392,0.0,1.801718217908686,14.185875429131922,5.160343270099355,18.305386178861795,1,0,2.0,2.0,0.0,0.7004926108374383,85,85,0,S,重点观察,彩虹趋势极强；主力行为活跃；温和放量；成交额尚可；突破20日高点；大阳线；五日多阳；近期多次大涨,泛亚微透,其他,科创板,其他,688386 泛亚微透,False,2026-05-22,2026-05-22 21:40:57,18,2026-05-15,81.56,1.5944,0.0105683758931537,0.0,20.0,0.0001056837589315,0.2852681950845392,弱,93.13,-12.423494040588423,False,False,True,2026-05-22 21:45:57
688686,2026-05-22,154.27,12.6058,4.0806,100.0,100.0,0.5871077372617343,0.0058710773726173,0.4128178214028991,0.0,2.078861815267663,26.099395128330883,34.79195514887523,41.95320219351639,1,1,2.0,3.0,1.0,0.9462011525578607,84,117,33,B,轻观察,彩虹趋势极强；主力行为强；明显放量；成交额尚可；突破60日高点；涨停特征；五日多阳；近期多次大涨；近期有涨停基因；5日涨幅过大；高位加速风险,奥普特,其他,科创板,其他,688686 奥普特,False,2026-05-22,2026-05-22 21:40:57,19,2026-05-15,122.34,4.788,0.5871077372617343,100.0,20.0,0.0058710773726173,0.4128178214028991,弱,154.27,-20.697478446878847,False,False,True,2026-05-22 21:45:57
688300,2026-05-22,134.85,15.1875,5.401,100.0,90.0,,,,,1.4238055811876578,10.261651676206052,43.016226535157486,42.45721529685189,1,1,1.0,3.0,3.0,0.9345176348547717,84,102,18,S,重点观察,彩虹趋势极强；主力行为强；成交额充足；突破60日高点；涨停特征；近期多次大涨；近期有涨停基因；高位加速风险,联瑞新材,其他,科创板,其他,688300 联瑞新材,True,2026-05-22,2026-05-22 21:40:57,20,,,,,,,,,,134.85,,False,False,False,2026-05-22 21:45:57
