symbol,keep,remove_reason,latest_date,latest_close,avg_amount,avg_turnover,avg_volatility,price_range_60d,recent_20d_return,avg_main_force_score,avg_rainbow_score
688297,True,,2026-05-13,46.89,739802858.1401666,2.0432783333333333,0.041842694728403095,0.46659192825112106,-0.053683148335015085,14.166666666666666,26.333333333333332
688172,True,,2026-05-13,48.79,715006566.5198332,2.1987333333333328,0.04649279573624965,0.41224604966139955,0.2574742268041237,17.333333333333332,47.0
688257,True,,2026-05-13,83.85,698180782.3269998,3.919036666666666,0.04962276952131283,0.7604318040274027,0.14268192968111193,25.166666666666668,72.0
688143,True,,2026-05-13,76.37,691438490.0098332,8.947140000000001,0.05457261256874629,0.7570621468926553,0.17818574514038898,36.666666666666664,65.33333333333333
688166,True,,2026-05-13,66.35,686000239.2648335,3.084568333333333,0.04358180073335934,0.8740035998971456,0.34857723577235755,19.666666666666668,46.333333333333336
688258,True,,2026-05-13,141.86,682459151.1364999,4.466073333333333,0.051002013357669386,0.6020408163265305,0.3233208955223881,23.166666666666668,28.666666666666668
688300,True,,2026-05-13,127.21,659271302.4368333,3.119700000000001,0.05264664978911951,1.221583220568336,0.3182383419689119,22.666666666666668,66.66666666666667
688127,True,,2026-05-13,93.98,658154905.912,2.5825950000000004,0.03841651685045629,1.075324675324675,0.3993448481238835,23.5,89.0
688180,True,,2026-05-13,40.23,639410283.8818333,2.213661666666667,0.03156947064476392,0.5801086218601492,-0.032234784700505226,17.333333333333332,33.333333333333336
688147,True,,2026-05-13,91.55,623948749.0358334,1.8222700000000003,0.04337131032267713,0.6171617161716172,0.38293051359516617,17.5,30.0
688150,True,,2026-05-13,59.74,623764261.7606666,3.6815983333333335,0.0431592590439019,1.3264540337711073,0.23429752066115705,24.833333333333332,88.33333333333333
688336,True,,2026-05-13,69.56,600224571.5038333,1.30095,0.040653055823248636,0.7490494296577948,-0.18614718614718606,17.666666666666668,46.666666666666664
688262,True,,2026-05-13,41.45,569236353.8866667,4.407348333333334,0.042417417357458846,0.49871050934880734,0.19006603502727537,21.166666666666668,40.0
688322,True,,2026-05-13,87.65,534161661.914,2.0079650000000004,0.026209802097053495,0.38012422360248443,0.06358451644217955,12.666666666666666,13.666666666666666
688307,True,,2026-05-13,121.7,523761601.60733336,7.873398333333332,0.0578513191851663,1.8122956180510137,0.426060464026248,40.5,83.66666666666667
688233,True,,2026-05-13,95.5,509858856.5423334,3.7505499999999996,0.04727017703112665,0.4596701649175412,0.31379832163984056,18.5,23.0
688312,True,,2026-05-13,85.78,503722698.3874999,5.941351666666665,0.046563204618378165,1.0311783585511232,0.3403125,36.833333333333336,82.66666666666667
688227,True,,2026-05-13,109.06,499802092.6784999,4.318415,0.05931608106802014,1.6110124333925402,0.7946355109428993,29.0,34.0
688226,True,,2026-05-13,59.67,484089797.4628333,5.079103333333333,0.047349437363242625,0.7217484008528783,0.1546052631578947,28.833333333333332,71.33333333333333
688239,True,,2026-05-13,75.75,467554460.8106667,3.6551050000000003,0.03817875003588848,0.5131970260223049,0.20257183679949198,18.833333333333332,36.666666666666664
688135,True,,2026-05-13,38.4,459747639.6365,6.1557416666666676,0.04283884987904867,0.6263073209975865,0.07774347460005604,28.0,36.666666666666664
688170,True,,2026-05-13,68.99,434541754.323,7.823763333333334,0.04618378200748343,0.83484809140483,0.2584823057278365,39.5,82.0
