symbol,keep,remove_reason,latest_date,latest_close,avg_amount,avg_turnover,avg_volatility,price_range_60d,recent_20d_return,avg_main_force_score,avg_rainbow_score
688169,False,趋势长期弱(6.0),2026-05-13,120.0,552802072.944,1.7107733333333333,0.021740062261906917,0.3972727272727272,0.06298166356630341,9.666666666666666,6.0
688181,False,成交额低(147972148),2026-05-13,38.8,147972147.78266665,3.169051666666667,0.029261390566563572,0.34658896126157,0.18076688983566647,16.333333333333332,28.666666666666668
688182,False,成交额低(172449251),2026-05-13,36.78,172449251.0906667,1.3869783333333332,0.031904839524649474,0.4858283433133732,0.308896797153025,15.166666666666666,26.666666666666668
688187,False,换手率低(0.60),2026-05-13,59.29,278994940.88949996,0.5999433333333334,0.03222875218505194,0.2732056409177017,0.18461538461538463,10.166666666666666,21.666666666666668
688188,False,换手率低(0.65),2026-05-13,166.55,273017665.302,0.6477616666666667,0.0256225692718228,0.3136962660809539,0.17703180212014136,14.5,21.0
688192,False,成交额低(193707884)；换手率低(0.77),2026-05-13,56.58,193707883.64516672,0.769435,0.03125440262091632,0.326403771967424,-0.010146955913226008,13.5,22.333333333333332
688218,False,成交额低(128323167),2026-05-13,41.53,128323166.65933332,3.9634899999999997,0.03293876100311742,1.0732673267326733,0.7590004235493435,28.333333333333332,49.666666666666664
688228,False,趋势长期弱(5.0),2026-05-13,110.83,290218933.98149997,3.585205,0.037309361807745405,0.767857142857143,0.02648883949245162,13.166666666666666,5.0
688260,False,成交额低(188885728),2026-05-13,51.14,188885727.65766665,4.594823333333333,0.05235204954031817,1.1800081267777327,0.9060752888557586,30.166666666666668,21.666666666666668
688271,False,换手率低(0.58)；趋势长期弱(5.7),2026-05-13,114.51,567428583.136,0.5826133333333331,0.016506989921161574,0.22493349234015225,0.01363193768257065,8.666666666666666,5.666666666666667
688278,False,成交额低(173501497)；换手率低(0.65)；趋势长期弱(1.7),2026-05-13,59.1,173501496.93083334,0.6535633333333334,0.0199511988131149,0.4064906490649065,-0.06929133858267711,8.166666666666666,1.6666666666666667
688280,False,近20日跌幅过大(-33.04%),2026-05-13,6.75,275353827.7938334,5.29456,0.04604949851182862,0.8305597579425112,-0.3303571428571429,21.333333333333332,46.666666666666664
688281,False,换手率低(0.94),2026-05-13,79.08,209064928.50833336,0.9445000000000001,0.028027289836638523,0.4993509303331891,0.06576819407008072,10.166666666666666,18.0
688282,False,历史数据不足(148),,,,,,,,,
688303,False,换手率低(0.70)；趋势长期弱(9.3),2026-05-13,23.09,341919119.9558334,0.6986899999999999,0.023935821273144742,0.26610084872690964,0.028507795100222832,11.0,9.333333333333334
688309,False,成交额低(194391579),2026-05-13,80.36,194391579.147,4.203146666666667,0.04580720864877463,1.8762987012987011,0.19476657746060067,33.333333333333336,92.66666666666667
688311,False,成交额低(190343570),2026-05-13,35.45,190343570.05483332,2.7478916666666664,0.03120854166579229,0.5337552742616034,-0.07247514390371523,12.5,20.333333333333332
688318,False,趋势长期弱(8.0),2026-05-13,119.82,337789532.55,1.1296083333333333,0.025820127817831176,0.32660132660132657,0.06982142857142848,13.833333333333334,8.0
688323,False,成交额低(196062075),2026-05-13,31.32,196062075.15416664,4.518755,0.05683394707124752,0.6684127815610268,0.5652173913043477,23.333333333333332,23.666666666666668
688332,False,趋势长期弱(7.3),2026-05-13,134.18,243087091.99383336,1.6075133333333333,0.028100835296569777,0.295179050615342,0.068482242395286,14.166666666666666,7.333333333333333
